FPrate,Sensivity,Precision,f1_score,Threshold
0.12500,0.38441,0.94959,0.54727,0.63396
0.12579,0.38480,0.94934,0.54763,0.63377
0.12658,0.38520,0.94909,0.54799,0.63358
0.12736,0.38619,0.94892,0.54896,0.63315
0.12815,0.38657,0.94866,0.54931,0.63297
0.12894,0.38755,0.94849,0.55026,0.63255
0.12973,0.38794,0.94824,0.55062,0.63237
0.13051,0.38896,0.94807,0.55161,0.63192
0.13130,0.38935,0.94782,0.55196,0.63174
0.13209,0.38973,0.94758,0.55230,0.63156
0.13288,0.39087,0.94743,0.55342,0.63108
0.13366,0.39126,0.94718,0.55377,0.63089
0.13445,0.39215,0.94700,0.55463,0.63052
0.13524,0.39253,0.94675,0.55497,0.63035
0.13603,0.39355,0.94659,0.55596,0.62993
0.13681,0.39393,0.94635,0.55630,0.62975
0.13760,0.39431,0.94611,0.55663,0.62957
0.13839,0.39524,0.94594,0.55752,0.62918
0.13918,0.39563,0.94570,0.55787,0.62900
0.13996,0.39650,0.94552,0.55871,0.62863
0.14075,0.39688,0.94528,0.55904,0.62845
0.14154,0.39773,0.94510,0.55985,0.62810
0.14233,0.39813,0.94487,0.56021,0.62792
0.14311,0.39854,0.94463,0.56057,0.62774
0.14390,0.39956,0.94448,0.56156,0.62730
0.14469,0.39996,0.94424,0.56191,0.62712
0.14548,0.40090,0.94408,0.56281,0.62671
0.14626,0.40131,0.94385,0.56317,0.62653
0.14705,0.40223,0.94369,0.56405,0.62614
0.14784,0.40261,0.94345,0.56438,0.62597
0.14863,0.40351,0.94329,0.56524,0.62559
0.14941,0.40388,0.94305,0.56555,0.62543
0.15020,0.40424,0.94282,0.56587,0.62526
0.15099,0.40515,0.94266,0.56672,0.62491
0.15178,0.40552,0.94243,0.56704,0.62474
0.15257,0.40645,0.94227,0.56793,0.62436
0.15335,0.40683,0.94204,0.56825,0.62420
0.15414,0.40771,0.94188,0.56908,0.62386
0.15493,0.40808,0.94165,0.56940,0.62369
0.15572,0.40845,0.94142,0.56972,0.62352
0.15650,0.40938,0.94127,0.57060,0.62315
0.15729,0.40977,0.94104,0.57093,0.62298
0.15808,0.41071,0.94089,0.57181,0.62259
0.15887,0.41110,0.94067,0.57215,0.62242
0.15965,0.41207,0.94052,0.57306,0.62202
0.16044,0.41246,0.94030,0.57340,0.62185
0.16123,0.41285,0.94008,0.57373,0.62168
0.16202,0.41374,0.93992,0.57457,0.62131
0.16280,0.41415,0.93970,0.57492,0.62114
0.16359,0.41506,0.93955,0.57577,0.62076
0.16438,0.41547,0.93934,0.57612,0.62059
0.16517,0.41647,0.93920,0.57705,0.62017
0.16595,0.41688,0.93898,0.57741,0.62001
0.16674,0.41730,0.93877,0.57777,0.61984
0.16753,0.41823,0.93863,0.57863,0.61946
0.16832,0.41864,0.93841,0.57899,0.61928
0.16910,0.41961,0.93827,0.57989,0.61890
0.16989,0.42003,0.93806,0.58024,0.61873
0.17068,0.42094,0.93792,0.58109,0.61835
0.17147,0.42134,0.93771,0.58143,0.61819
0.17225,0.42174,0.93749,0.58177,0.61803
0.17304,0.42260,0.93734,0.58256,0.61767
0.17383,0.42301,0.93713,0.58291,0.61750
0.17462,0.42409,0.93702,0.58391,0.61707
0.17541,0.42452,0.93681,0.58428,0.61690
0.17619,0.42553,0.93668,0.58521,0.61650
0.17698,0.42594,0.93647,0.58555,0.61633
0.17777,0.42634,0.93627,0.58589,0.61617
0.17856,0.42736,0.93614,0.58682,0.61577
0.17934,0.42777,0.93593,0.58717,0.61561
0.18013,0.42886,0.93582,0.58818,0.61519
0.18092,0.42929,0.93562,0.58854,0.61503
0.18171,0.43026,0.93549,0.58943,0.61462
0.18249,0.43068,0.93529,0.58978,0.61445
0.18328,0.43110,0.93509,0.59013,0.61428
0.18407,0.43206,0.93496,0.59101,0.61389
0.18486,0.43246,0.93476,0.59134,0.61372
0.18564,0.43338,0.93463,0.59217,0.61334
0.18643,0.43380,0.93443,0.59252,0.61318
0.18722,0.43484,0.93431,0.59347,0.61277
0.18801,0.43527,0.93412,0.59383,0.61260
0.18879,0.43570,0.93392,0.59419,0.61244
0.18958,0.43668,0.93380,0.59508,0.61204
0.19037,0.43712,0.93361,0.59545,0.61188
0.19116,0.43815,0.93350,0.59638,0.61147
0.19194,0.43857,0.93330,0.59673,0.61132
0.19273,0.43966,0.93320,0.59772,0.61089
0.19352,0.44009,0.93301,0.59808,0.61073
0.19431,0.44052,0.93281,0.59843,0.61057
0.19509,0.44144,0.93269,0.59926,0.61020
0.19588,0.44187,0.93250,0.59961,0.61003
0.19667,0.44297,0.93240,0.60060,0.60958
0.19746,0.44343,0.93221,0.60099,0.60941
