FPrate,Sensivity,Precision,f1_score,Threshold
0.12500,0.40886,0.92909,0.56783,0.74532
0.12579,0.40996,0.92885,0.56885,0.74492
0.12658,0.41050,0.92853,0.56931,0.74474
0.12736,0.41166,0.92831,0.57038,0.74431
0.12815,0.41219,0.92798,0.57083,0.74414
0.12894,0.41271,0.92766,0.57127,0.74396
0.12973,0.41377,0.92742,0.57224,0.74356
0.13051,0.41429,0.92710,0.57267,0.74339
0.13130,0.41534,0.92687,0.57363,0.74298
0.13209,0.41585,0.92654,0.57405,0.74281
0.13288,0.41689,0.92631,0.57500,0.74243
0.13366,0.41741,0.92600,0.57543,0.74226
0.13445,0.41792,0.92568,0.57586,0.74209
0.13524,0.41900,0.92546,0.57684,0.74169
0.13603,0.41953,0.92514,0.57728,0.74152
0.13681,0.42058,0.92492,0.57823,0.74113
0.13760,0.42110,0.92461,0.57865,0.74096
0.13839,0.42210,0.92437,0.57955,0.74059
0.13918,0.42259,0.92406,0.57996,0.74042
0.13996,0.42309,0.92375,0.58036,0.74025
0.14075,0.42405,0.92351,0.58122,0.73989
0.14154,0.42452,0.92319,0.58159,0.73972
0.14233,0.42543,0.92296,0.58240,0.73937
0.14311,0.42589,0.92264,0.58278,0.73921
0.14390,0.42676,0.92240,0.58354,0.73887
0.14469,0.42723,0.92208,0.58391,0.73870
0.14548,0.42811,0.92184,0.58469,0.73836
0.14626,0.42857,0.92153,0.58505,0.73819
0.14705,0.42903,0.92122,0.58542,0.73802
0.14784,0.42981,0.92097,0.58609,0.73772
0.14863,0.43028,0.92066,0.58647,0.73755
0.14941,0.43100,0.92040,0.58709,0.73726
0.15020,0.43146,0.92009,0.58744,0.73710
0.15099,0.43216,0.91982,0.58804,0.73681
0.15178,0.43261,0.91951,0.58839,0.73665
0.15257,0.43306,0.91921,0.58874,0.73648
0.15335,0.43380,0.91895,0.58938,0.73618
0.15414,0.43424,0.91865,0.58972,0.73601
0.15493,0.43499,0.91840,0.59036,0.73572
